;;
    3                                             ;                                         6        ;    3                                             
       1                                          ;    3                                             ;    3                                             
                                                  ;    3                                             ;    3                                             
    33   2  8                 4         93 07     ;    33   2 3              7                2     1;    33   2 3              7                2     1
    33   2 3              7                 2    1;    33   2      7       3        0 6      22      ;    33   2      7       3        0 6      22      
    33   32     7        3        0 6      22     ;    33  2       7       3                22       ;    33  2       7       3                22       
    33   2       7       3          2     22      ;6   33       0        3 3  6         9 8    0     ;6   33       0        3 3  6         9 8    0     
6   33      4 0     8  3 3  6          9 8    0   ;    33                 3  6            3        2 ;    33                 3  6            3        2 
    332                 3  6                    2 ;    33                  3  69                    2;    33                  3  69                    2
    33                   3  6          6          ;   33                3  4    4  9  0    7         ;    33                   3  6          6          
    33                3        9  0    7          ;    33                3       9  0                ;    33                3       9  0                
    33 3                3        9  0             ;   33  2  8                 4         93 7      0 ;    33 3                3        9  0             
   33   2  8                4         93 7      10;    33   2 3              7              7 2     1;    33   2 3              7              7 2     1
    33   2 3              7                2     1;    33   2      7    5   3        03 6      22    ;    33   2 3              7                2     1
    33   2      7       3        0 6      22      ;    33  2       7       3                2        ;    33  2       7       3                2        
    33  2       7       3                22      8;6  33       0 8       3 3  6         9 8    0     ;    33  2       7       3                22      8
6   3 3       0        3   6        9 8    0      ;    33                 3  6           3        2  ;    33                 3  6           3        2  
    33                  3  6            3        2;    33                 3  69                    2 ;    33                 3  69                    2 
    33          3        3  69                   2;    33                   3 3 6          6         ;    33          3        3  69                   2
    33            2       3  6          6         ;    33                3       9  0                ;    33                3       9  0                
9    33                3        9  0              ;    33 3                3       9  0              ;    33 3                3       9  0              
    33 3            8    3      9  9  0           ;0    33   2 3              7              7 2     ;    33 3            8    3      9  9  0           
    33   2 3       6       7              76 2    ;    33   2 3              7                2     1;    33   2 3              7                2     1
    33   2 3              7                 2     ;    33  2      07       3               2         ;    33   2 3              7                 2     
    33  2       7       3                2        ;    33  2       7     6  3               22      8;    33  2       7       3                2        
    33  2       7       3                22      8;    33               1  3  6           3        2 ;    33               1  3  6           3        2 
    33                 63  6           3        2 ;    33                 3  69                      ;    33                 63  6           3        2 
   2 33                 3  69                    2;    33         3        3 2 69        8           ;    33         3        3 2 69        8           
