;;21392  10000                 44441329  13   7137  
 255 0000  733 0075 0 5  2 67 70  3 90 625 656  5 ; 0 25500 0   00180 7303 45 7  2 657  3 8 862 7 1  ; 0 25500 0   00180 7303 45 7  2 657  3 8 862 7 1  
 0 25500 0   00180 7303 45 7  2 657  3 8 862 7 1  ; 0 255 00 0   00180 7 303 45 7  2 657  3 8 862 7 1; 0 25500 0   00180 7303 45 7  2 657  3 8 862 7 1  
 0 255 00 0   00180 7 303 45 7  2 657  3 8 862 7 1;21392  10000                 44441329  13   7137  ; 0 255 00 0   00180 7 303 45 7  2 657  3 8 862 7 1
21392  10000                 44441329  13   7137  ;21392  10000                 44441329  13   7137  ;21392  10000                 44441329  13   7137  
21392  10000                 44441329  13   7137  ;21392  10000                 44441329  13   7137  ;21392  10000                 44441329  13   7137  
21392  10000                 44441329  13   7137  ;21392  10000                 44441329  13   7137  ;21392  10000                 44441329  13   7137  
21392  10000                 44441329  13   7137  ;21392  10000                 44441329  13   7137  ;21392  10000                 44441329  13   7137  
21392  10000                 44441329  13   7137  ; 255 00 0   000 677 0 45   2 7737  433   82  6 5 6;21392  10000                 44441329  13   7137  
 255 00 0   000 677 0 45   2 7737  433   82  6 5 6;21392  10000                 44441329  13   7137  ; 255 00 0   000 677 0 45   2 7737  433   82  6 5 6
21392  10000                 44441329  13   7137  ; 255 00 0   000 677 0 45   2 7737  433   82  6 5 6; 255 00 0   000 677 0 45   2 7737  433   82  6 5 6
