;;2   66
27015 133   56   9628696    2   4   4    8   3    ;27015 13   56   9628696    2   8 4   45     8   33;27015 13   56   9628696    2   8 4   45     8   33
277015 13   56   9628696     2    4   45     8   3;27015  13   56   9628696 3  2    4   4    8   3   ;27015  13   56   9628696 3  2    4   4    8   3   
27015  13   56   9628696   25    4   4    8   3   ;27015 133  56   628696    2     49   4   8  3     ;27015 133  56   628696    2     49   4   8  3     
2705 133  56   628696    2     49   4   8  3      ;273001  56    62866   2 4   4     6  88   3 8   77;2705 133  56   628696    2     49   4   8  3      
273001  56    62866   2    4     6  88   3 8   75 ;2730 01  56   62866   2    4     6  88   3 8   775;2730 01  56   62866   2    4     6  88   3 8   775
27340 01  56   62866   2   4     6  88   3 8  775 ;273001  56  462866    2    4     6  88   3     77 ;273001  56  462866    2    4     6  88   3     77 
273001  56  62866     2    4     6  088   3     77;230 1  56   8606 15            6   49 03 166      ;230 1  56   8606 15            6   49 03 166      
230 1  56    8606 15            6   649 03 1656   ;27015 8123   56   69628696    2    4   4     8  3 ;27015 8123   56   69628696    2    4   4     8  3 
27015 1223   56   69628696    2    4  4     8  3  ;27015 1283   6   69628696    2    4    4     8  3 ;27015 1283   6   69628696    2    4    4     8  3 
270125 123   6   696278696    2    4    4     8  3;27015 13   56   9628696  4 2   8 4   45     8   33;270125 123   6   696278696    2    4    4     8  3
27015 13   56   9628696    2   8 4  3 45     8   3;7015  13   56   99628696 3  2    4   4     8   3  ;27015 13   56   9628696    2   8 4  3 45     8   3
27015  13   56   96285696 3  2    4    4    8   3 ;27015 133  56   628696    2      49   4   8  3    ;27015  13   56   96285696 3  2    4    4    8   3 
27015 133  56   6281696    2     49   4   8  3    ;2705 133  56   5628696    2     49   4   8  3     ;27015 133  56   6281696    2     49   4   8  3    
27065 133  56   628696    2     449   4   8  3    ;2730 01  56   62866   2   4     6  88   3 8   775 ;2730 01  56   62866   2   4     6  88   3 8   775 
2730 01  56   62866   2    4     6  88   3 8   775;2273001  56  462866 4   2    4     6  88   3     7;2730 01  56   62866   2    4     6  88   3 8   775
2730014  56  462866    2    4     6  88   3     77;230 1  56   8606 15            6   49 03  166     ;230 1  56   8606 15            6   49 03  166     
230 1  56   8606 15             6   49 035 1166   ;27015 8123   56   69628696   2    4   4     8  3  ;27015 8123   56   69628696   2    4   4     8  3  
27015 8123   56   69629869    2    4   4     8  3 ;27015 1283   6   69628696    2    4    4     8 3  ;27015 1283   6   69628696    2    4    4     8 3  
27015 1283   6   69628696    2 2   4    4     8  3;2701225 123   6  696278696    2    4    4     8   ;27015 1283   6   69628696    2 2   4    4     8  3
270125 123   6  696278696    2    4    4     8  3 ;27015 13   56 6  9628696    92   8 4  3 45     8  ;27015 13   56 6  9628696    92   8 4  3 45     8  
27015 13   56   9628696 7   2   8 4  3 45     8  3;27015  13   56   9628566 3  2    44    4    8   3 ;27015  13   56   9628566 3  2    44    4    8   3 
27015  13   562   96285696 3  2 1   4    4    8   ;270015 6133  56   6281696    2     49   4   8  3  ;270015 6133  56   6281696    2     49   4   8  3  
27015 1533  56   62281696    2     49   4   8   3 ;2730 01  5   62866   2   4     6  88   3 8   775  ;27015 1533  56   62281696    2     49   4   8   3 
2730 01  56   62866   2   4     60  8   3 8   775 ;2730 01  56   626866   2    4     6  88   3 8   77;2730 01  56   62866   2   4     60  8   3 8   775 
273001  56   62866   2    4     6  88   3 8   775 ;230 1  56   8606 15           4 6   49 03  1636  1;230 1  56   8606 15           4 6   49 03  1636  1
230 1  56   84606 5            6   49 03  166     ;27015 8123   56   69628696   2    4    4     8  3 ;230 1  56   84606 5            6   49 03  166     
27015 8123   56   6962869  2 8   4   4     8  3   ;27015 1283   6   69628696    2    4    4     8  3 ;27015 1283   6   69628696    2    4    4     8  3 
27015 1 283   6   69628696    26    4    4     8 3;2 7015 1283   6   69628696    2 2   4    4     8  ;27015 1 283   6   69628696    26    4    4     8 3
27015 12837       69628696    2 2   4    4     8  ;27015 13   56 6  9628696    92   8 4  3 45     8  ;27015 13   56 6  9628696    92   8 4  3 45     8  
27015 13   56 6  9628696    92   8 4  3 45     58 ;27015  13   56   9628566 3  2    44  3  4    8   3;27015 13   56 6  9628696    92   8 4  3 45     58 
27015  13   56   962856 3  2    44    4    8    3 ;270015 6133  56   6281696    2     499   454   8  ;27015  13   56   962856 3  2    44    4    8    3 
2700155 6133  56   628196    2     49   4   8  3  ;27015 1533  56   62281696    2     49   4   8   3 ;2700155 6133  56   628196    2     49   4   8  3  
27015 1533  56   62281696    2     459 4  4 3  8  ;72730 01  56   62866   2   4     60  8   3 8  775 ;27015 1533  56   62281696    2     459 4  4 3  8  
2730 01  56   62866   2   4     60  8   3 8 3  775;20 1   56   8606 15           4 6   49 03  1636  1;2730 01  56   62866   2   4     60  8   3 8 3  775
230 1 56   86060 15           4 6   49 03  1636  1;230 1  56   84606 5            6  49 03  166      ;230 1  56   84606 5            6  49 03  166      
230 1  56   846026 5 5           6   49 03  166   ;27015 1283   267   69628696    24    4    4     8 ;230 1  56   846026 5 5           6   49 03  166   
27015 1283   6   69628696    2    4  4  4     8  3;27015 1 283   6   696286960    26    4    4 7    8;27015 1 283   6   696286960    26    4    4 7    8
27015 1 283   6   869628696    26    4    4     8 ;27015 13   56 6  96286096    92   8 4  3  45     8;27015 1 283   6   869628696    26    4    4     8 
27015 13   56 6  9628696    92   8 4  3 4     8   ;27015 13   56 6  9628696    92    4  3 45     58  ;27015 13   56 6  9628696    92   8 4  3 4     8   
27015 13   56 6  9628696    92   8 4  3 45    6 58;27015  13   756   962856 3 0 2    44    4    8    ;27015  13   756   962856 3 0 2    44    4    8    
27015  13   56   962856 33  2    44    4    8    3;2700155 6133  56   628196     2     49   4   8  3 ;27015  13   56   962856 33  2    44    4    8    3
2700155 6133  56   628196    2     49   4   8  3  ;27015  1533  56   62281696    2     459 4  4 3  8 ;2700155 6133  56   628196    2     49   4   8  3  
27015 1533 5 56   62281696    2     459 4  43  8  ;2730 01  56   62866 5  2   4     6  8   3 8 3  775;2730 01  56   62866 5  2   4     6  8   3 8 3  775
27730 01  56   62866   2   4    60  8   3 8 3  775;230 1  56   84606 5            6  49 03  166      ;27730 01  56   62866   2   4    60  8   3 8 3  775
230 1  56   84606 5            6  49 03  166      ;230 1  56   846026 5 5          6   49 03  166    ;230 1  56   846026 5 5          6   49 03  166    
230  1  56 5  8460260 5 5           6   49 03  166;527015 1 283  8 6   696286960    26    4    4 7   ;527015 1 283  8 6   696286960    26    4    4 7   
27015 1 283   6   69628696    26    4     4 7    8;2715 1 283   6   869628696    26    04    4     8 ;2715 1 283   6   869628696    26    04    4     8 
27015 1 283   6   869628696   26    4    4     8  ;27015 13   56 6  9628696    92  1 8 4  3 4     8  ;27015 1 283   6   869628696   26    4    4     8  
27015 13   56 6  9628696    92   8 4  3 4     8   ;27015  13   756   962856 3 0 2     44    4    8   ;27015 13   56 6  9628696    92   8 4  3 4     8   
27015  13   756   962856 3 0 28    44     4    8  ;27015  13   56   962856 3533  2   2 44    4    8  ;27015  13   56   962856 3533  2   2 44    4    8  
27015  13   56   962856 33  2   44    4    8    3 ;2700155 6133  56   628196    2     49   4   8  3  ;2700155 6133  56   628196    2     49   4   8  3  
2700155 61133  56   628196    2     49   4   8  3 ;2730 01  756   628664 5  2   4     6  8   3 8 3  7;2730 01  756   628664 5  2   4     6  8   3 8 3  7
273 01  56   62866 5  2   4     6  8   3 8 3  775 ;27730 01  56   62866   2   4    60  8   03 8 3 775;27730 01  56   62866   2   4    60  8   03 8 3 775
27730 01  56   62866   2   4    607  8   3 8 3  77;230 1  56   846026 5 5           6   49 03  1666  ;27730 01  56   62866   2   4    607  8   3 8 3  77
230 1  56   846026 5 5          6   49 03  166    ;527015 1 283  8 6   6961286960    26    4    4 7  ;527015 1 283  8 6   6961286960    26    4    4 7  
527015 1 283  8  6   696286960    26    4    4 7  ;2715 1 283   6   869628696    26    04    4      8;527015 1 283  8  6   696286960    26    4    4 7  
27175 1 283   6   869628696    26    04    4     8;273015 1 283 6  6   8696228696   26    4    4     ;27175 1 283   6   869628696    26    04    4     8
27015 1 283   6   8696287696   26    4    4     8 ;27015 13   56 6  9628696    92   8 4  3 4     8  5;27015 13   56 6  9628696    92   8 4  3 4     8  5
27015 13   56 6  9628696    92 2  8 4  3 4     8  ;27015  13   560   962856 3533  2   2 44    4    8 ;27015  13   560   962856 3533  2   2 44    4    8 
27015  13   56   962856 3533  2   2 44    4    28 ;2700155 96133  56   628196    2     49   4   8  3 ;27015  13   56   962856 3533  2   2 44    4    28 
270700155 6133  56   628196    2     49   4   8  3;2730 01  7556   628664 5  2   4     6  8   3 8 3  ;2730 01  7556   628664 5  2   4     6  8   3 8 3  
2730 01  756   628664 5  2  5 4     6  8   3 8 3  ;27730 01  56   62866   2  4    60  8   003 8 3 775;27730 01  56   62866   2  4    60  8   003 8 3 775
27730 017  56   62866  2   4    60  8  1 03 8 3 77;27730 01  56   662866   2  4    607  8   3 8 3  77;27730 017  56   62866  2   4    60  8  1 03 8 3 77
27730 01  56   62866   2   4    6078  8   3 8 93  ;527015 1 283  8 6   6961286960    26    4   4 7   ;527015 1 283  8 6   6961286960    26    4   4 7   
4527015 1 283  8 6   6961286960     26    4    4 7;527015 1 283  8  6   6962866960    26 3   4   4 7 ;4527015 1 283  8 6   6961286960     26    4    4 7
527015 1 283  8  6   696286960    260    4    4 7 ;271756 1 283   6   869628696    26    04    4     ;271756 1 283   6   869628696    26    04    4     
27175 1 283   6   86962696    26   04    4  7   8 ;27015 13   56 6  96528696    92   8 47  3  4     8;27015 13   56 6  96528696    92   8 47  3  4     8
27015 13   56 6  9628696    92   8 4  3 4     8  5;27  015  13   560   962856 3533  2   2 44    4    ;27015 13   56 6  9628696    92   8 4  3 4     8  5
27015  13   3560   962856 3533  26   2 44    4    ;27015  13   56   962856 3533  2   2 44    4    28 ;27015  13   56   962856 3533  2   2 44    4    28 
27015  13   56   962856 3533  2   2 44    4    28 ;2730 01  7556   628664 5  2   4     6  8   3  8 3 ;27015  13   56   962856 3533  2   2 44    4    28 
27330 01  7556   628664 5  2   4     6   8   3 8 3;27730 01  56   62866   2  4 7   60  8   003 8 3 77;27730 01  56   62866   2  4 7   60  8   003 8 3 77
27730 01  56   62866   2  4    60 8   003 8 3 775 ;27730 017  56   62866 9 2   4    60  8  1 03 8 3 7;27730 017  56   62866 9 2   4    60  8  1 03 8 3 7
27730 0117  56   62866  2   4    60  8  1 03 8 3 7;527015 1 283   8 6   6961286960    26    4  6 4 7 ;27730 0117  56   62866  2   4    60  8  1 03 8 3 7
527015 11 283  8 6   69612869602    26    4    4 7;4527015 1 283  8 6   6961286960     26    4    4 7;4527015 1 283  8 6   6961286960     26    4    4 7
4527015 1 283  87 6   696128960     26    4    4 7;271756 1 283  6   869628696    26    04  8  4     ;271756 1 283  6   869628696    26    04  8  4     
271756 1 9283   6   869628696    26    04    4    ;27015 13   56 6  96528696   92   8 47  3  4     8 ;271756 1 9283   6   869628696    26    04    4    
27015 13   56 6  96528696    92   8 47  3  4     8;2705 13   56 6  9628696    92   8 4  3 4 7    8  5;27015 13   56 6  96528696    92   8 47  3  4     8
27015 13   56 6  96286968    92   8 4  3 4      8 ;27015 7 13   56   962856 333  2   2 44    4    28 ;27015 7 13   56   962856 333  2   2 44    4    28 
2015  13   56   962856 3533  25   2 44    4    28 ;27015  13   56   962856 3533  2   2 44    4    28 ;2015  13   56   962856 3533  25   2 44    4    28 
27015  13   56  962856 3533  2   2 44    4    28  ;27730 01  56   6866   2  4 7   60  8   0 03 8 3 77;27015  13   56  962856 3533  2   2 44    4    28  
27730 01  56   62866   2  4 7    60  8    003 8 3 ;27730 017  56   62866 9 2   4    60  8  1 03 8 3 7;27730 017  56   62866 9 2   4    60  8  1 03 8 3 7
27730 017  56   628866  2   4    60  8  1 03 8 3 7;27730 0117  56   62866  2   4    60  8  1 03  8 3 ;27730 0117  56   62866  2   4    60  8  1 03  8 3 
27730 0117  56  9 62866  2   4    600  8  1 03 8 3;4527015 1 283  8 6   6961286960     26    4    4 7;4527015 1 283  8 6   6961286960     26    4    4 7
4527015 1 283  8 6    6961286960     26    4    4 ;271756 1 283  6   869628696    26    04  8  4     ;4527015 1 283  8 6    6961286960     26    4    4 
271756 1 283  6   86628696    26    04    4       ;271756 1 9283   6   869628696    26    04    4    ;271756 1 9283   6   869628696    26    04    4    
271756 1 9283   6   3869628696     26    04    4  ;27015 13   56 6  96528696    92   8 47  3  4    8 ;27015 13   56 6  96528696    92   8 47  3  4    8 
2701513   56 6  96528696    92   847  3  4     8  ;27015 7 13   56   962856 333  2   2 44    4    28 ;2701513   56 6  96528696    92   847  3  4     8  
27015 7 13   56   9672856 33  2   2 44    4    28 ;2015  13   56   962856 3533  25   2 44   9 4    28;27015 7 13   56   9672856 33  2   2 44    4    28 
2015  13   256   962856 3533  25   2 44    4    28;22015  13   56  962856 35338  2   2 44    4    28 ;22015  13   56  962856 35338  2   2 44    4    28 
0270185  13   56  962856 3533  2   2 44    4    28;27730 017  56   62866 92   4    60  8  1 03 88 3 7;27730 017  56   62866 92   4    60  8  1 03 88 3 7
27730 017  56   62866 9 2   4    60  8  1 03 8 3 7;27730 0117  56   62866  2   4    0  8  1 03  8 3  ;27730 0117  56   62866  2   4    0  8  1 03  8 3  
7730 0117  56   62866  2   4    60  8  1 03  8 3  ;4527015 1 283   6   6961286960      26    4    4 7;7730 0117  56   62866  2   4    60  8  1 03  8 3  
4527015 1 283  8  6   6961286960     26    4 9   4;49527015 1 283  8 6    6961286960     26         4;4527015 1 283  8  6   6961286960     26    4 9   4
4527015 1 283  8 6    696186960     26    4    4  ;271756  1 9283   6   869628696    26    04    4   ;271756  1 9283   6   869628696    26    04    4   
271756 1 9283   6   86962866   26    04    4      ;27015 13   56 6  965286946    92   8 47  3  4   8 ;27015 13   56 6  965286946    92   8 47  3  4   8 
27015 13   56 6  96528696    92    8 47  3  4    8;270113   526 6  96528696    92   847  3  4     8  ;270113   526 6  96528696    92   847  3  4     8  
2701513   56 6  962528696    92   847    4     8  ;27015 7 13   56  9672856 33  2   2 44    4    28  ;2701513   56 6  962528696    92   847    4     8  
27015 7 13   56   967285 33  2   2 44    44    228;22015  13   56  962856 355338  2   2 44    4     2;27015 7 13   56   967285 33  2   2 44    44    228
22015  13   56  962856 35338  2   2 44    4    28 ;27730 017  56  62866 92   4    60  8  1 03 868 3 7;27730 017  56  62866 92   4    60  8  1 03 868 3 7
27730 017  556   6266 92   4    60  8  1 03 88 3 7;27730 0117  56   62866  2   4    0  8  1 03  8 3  ;27730 017  556   6266 92   4    60  8  1 03 88 3 7
27730 0117  56 1  62866  2   4    0  8  1 03  8 3 ;7730 0117  56   62866  2    4    60  8  1 03  8 3 ;27730 0117  56 1  62866  2   4    0  8  1 03  8 3 
7730 0117  56   628 66  2   4    60  8  1 03  8   ;4527015 1 283  8  6   6961286960    26    4 9     ;4527015 1 283  8  6   6961286960    26    4 9     
4527015 1 283  8  6   6961286960     236    4 9   ;271756  1 9283   6   869628696    269    04   4   ;4527015 1 283  8  6   6961286960     236    4 9   
271756  1 9283   6   869628696    246    04    4  ;27015 13  56 6  965286946    92   8 47  3  43   8 ;27015 13  56 6  965286946    92   8 47  3  43   8 
27015 13   56 6   965286946    92   8 47  3  4   8;270113   526  6  96528696    92   847  3  4     8 ;270113   526  6  96528696    92   847  3  4     8 
270113   526 6  96528696    92   847  3  4    8   ;2701513    56 6  962528696    92   847    4     8 ;2701513    56 6  962528696    92   847    4     8 
2701513   56 6  962528696    992   847    4     8 ;5270158 7 13   56   967285 33  2   2 44    44    2;2701513   56 6  962528696    992   847    4     8 
27015 7 13   56   967285 33 9 2   2 44    44    22;27730 017  56  62866 92   4    60  8  1 03 868 3 7;27015 7 13   56   967285 33 9 2   2 44    44    22
27730 017  56 62866 92   4    60  8  1 03 8068 3 7;27730 017  556   6266 92   4    60  8  1 03 88 3 7;27730 017  556   6266 92   4    60  8  1 03 88 3 7
27730 017  556   6266 92   4    60  48  1 03 88 3 ;27730 0117  56 1  62866  2   4    0  8  1 03  8 3 ;27730 0117  56 1  62866  2   4    0  8  1 03  8 3 
27730 0117  56 1  62866  2   4    0  8  1 03  8 3 ;4527015 1 283  8  6   6961286960    26    4 59    ;4527015 1 283  8  6   6961286960    26    4 59    
4527015 1 283  84  6   69361286960    26    4 9   ;45270 159 1 283  8  6   6961286960     236    4 9 ;45270 159 1 283  8  6   6961286960     236    4 9 
4527015 1 2873  8  6   69611286960     236  8  4 9;27015 13  56 6  91652866946    92   8 47  3  43   ;27015 13  56 6  91652866946    92   8 47  3  43   
27015 13  56 6  965286946    92   8 47  3  43   8 ;270113   526  6  96528696    92  847  3  4     8  ;27015 13  56 6  965286946    92   8 47  3  43   8 
270113   526  6  96528696    92   847  3  4    8  ;201513    56 6  962528696    92    847    4     8 ;270113   526  6  96528696    92   847  3  4    8  
2701513    56 6  96252866    92   847    4     8  ;27015103   56 6  962528696   4 992   847    4     ;2701513    56 6  96252866    92   847    4     8  
27015113   56 6  962528696    992   847    4     8;27015 7 13   56   967285 33 9 2   2 44   44    22 ;27015 7 13   56   967285 33 9 2   2 44   44    22 
27015 7 13   56   967285 33 99 2   2 44    44    2;27730 017  556   996266 92   4    60  8  1 703 88 ;27015 7 13   56   967285 33 99 2   2 44    44    2
27730 017  556   626 92   4    60  8  1 03 883 7  ;27730 0117  56 71  62866  2   4    0  8  1 03  8  ;27730 017  556   626 92   4    60  8  1 03 883 7  
27730 0117  56 1  62866  2   4    0  8  1 03  8 3 ;4527015 1 2283  8  6   6961286960    26    4 59   ;4527015 1 2283  8  6   6961286960    26    4 59   
4527015 1 283  8  6   6961286960    26    4 59    ;45270 159  283  8  6   696126960     236    4 9   ;4527015 1 283  8  6   6961286960    26    4 59    
45270 159 1 283  8  6   6961286960     236    4 9 ;27015 13  5 6  91652866946    92   8 47  3  43    ;27015 13  5 6  91652866946    92   8 47  3  43    
27015 13  56  6  91652866946    92   8 47  30  43 ;27015 513  56 6  965286946    92   8 47  3  43   8;27015 13  56  6  91652866946    92   8 47  30  43 
27015 13  56 6  965286946    92   8 47  3  43   8 ;270113   526  6  960528696   92   847  3  4    58 ;27015 13  56 6  965286946    92   8 47  3  43   8 
270113   526  6  96528696    92   847  3  4    8  ;2701513    56 6  96252866    92    847    4     8 ;270113   526  6  96528696    92   847  3  4    8  
2701513    56 46  96252866    92   847    4     8 ;27015 7 13   56   967285 3 3 9 2   2 44   444    2;27015 7 13   56   967285 3 3 9 2   2 44   444    2
27015 7 13   56   967285 330 9  2   2 44   44    2;27015 7 13   56   967285 33 99 2   2 444    44    ;27015 7 13   56   967285 330 9  2   2 44   44    2
27015 7 13    56   967285 33 599 2   2 44    44   ;27730 017  556   626 2   4    60  8  1 03 883 7   ;27015 7 13    56   967285 33 599 2   2 44    44   
27730 017  556   626 92   4    60 4 8  1 03 883 7 ;4527015 12283  8  6    36961286960    26    4 59  ;4527015 12283  8  6    36961286960    26    4 59  
4527015 1 2283  8  6   6961286960    26    4 59   ;4527015 1 283  8  6   69612869760    26    4 59   ;4527015 1 283  8  6   69612869760    26    4 59   
4527015 1 283  8  6   6961286960    2    4 59 5   ;27015 13  5 6  916528669 46    92   8 47  3  743  ;27015 13  5 6  916528669 46    92   8 47  3  743  
267015 13  5 6  916528 66946    92   8 47  3  43  ;27015 13  5  6  91652866946    92   8 47  30  43  ;267015 13  5 6  916528 66946    92   8 47  3  43  
27015 13  56  6  91652866 946    92   8 47  30  43;27015 13  56 6  965286946    92   8 47  3  443   8;27015 13  56  6  91652866 946    92   8 47  30  43
27015 13  56 6  965286946    9254   8 47  3  43   ;270113   526  6  96528696    92   847  3  4    8  ;27015 13  56 6  965286946    9254   8 47  3  43   
270113   526  6  96528696    92    847  3  4    8 ;27015 7 613   56    967285 3 3 9 2   2 44   444   ;270113   526  6  96528696    92    847  3  4    8 
27015 7 13   56   967285 3 3 9  2   2 44   444    ;27015 7 13   565   967285 330 9  2  2 44   44    2;27015 7 13   56   967285 3 3 9  2   2 44   444    
27015 713   56   967285 330 9  2   2 44  4    2   ;27015 713    56   967285 233 599 2   2 44    44   ;27015 713   56   967285 330 9  2   2 44  4    2   
27015 7 13    56   967285 33 599 2   2 44    44   ;4527015 12283  8  6    36961286960    426    4 59 ;27015 7 13    56   967285 33 599 2   2 44    44   
4527015 112283 9 8  6    36961286960    26    4 59;527015 1 283  8  6    69612869760    26    4 59   ;4527015 112283 9 8  6    36961286960    26    4 59
4527015 1 2834  8  6   69612869760    26    4 59  ;27015 13  5 6  916528669 46    92   8  47  3  743 ;27015 13  5 6  916528669 46    92   8  47  3  743 
27015 13  5 6  916528669 46    92   8 4799  3  743;267015 13  5 6  91658 66946    92   8 47  3  43   ;267015 13  5 6  91658 66946    92   8 47  3  43   
267015 13  5 6  9165 28 66946    92   8 47 3  43  ;277015 13  56  6  91652866 946    92   8 47  30  4;277015 13  56  6  91652866 946    92   8 47  30  4
27015 13  56  6  91652866 946    92   847  30  43 ;27015 13  56 6  965286946    925   8 47  3  43    ;27015 13  56 6  965286946    925   8 47  3  43    
27015 13  56 6  965286946    9254   8 47  3  43   ;2701 13   526  6  965286966    92    847  3  4    ;2701 13   526  6  965286966    92    847  3  4    
3270113   526  6  496528696    92     847  3  4   ;27015 7 13   56   967285 3 3 9  2    2 44   444   ;27015 7 13   56   967285 3 3 9  2    2 44   444   
27015 7 13   56  967 285 3 3 9  2   2 44   444    ;27015 713   56   967285 330 9  2   244  4    2    ;27015 7 13   56  967 285 3 3 9  2   2 44   444    
27015 713   56   9667285  3320 9  2   2 44  4    2;27015 7 133    56   967285 33 599 2   2 44    44  ;27015 713   56   9667285  3320 9  2   2 44  4    2
27015 7 13    56   967285 33 599 2   2 44    424  ;4527015 112283 9 8  6    36961286960    26  2  4 5;4527015 112283 9 8  6    36961286960    26  2  4 5
4527015 112283 9 8  6    36961286960    26    4 59;27015 13  5 6  91652669 46    92    8  47  3  743 ;4527015 112283 9 8  6    36961286960    26    4 59
27015 13  5  6 7 916528669 46    92   8  47  3  74;267015 13  5 6  91658 66946    92   8 47  3  43   ;27015 13  5  6 7 916528669 46    92   8  47  3  74
67015 13  5 6  91658 669946    92   8 47  3  43   ;277015 13  56  6  91652866 946    92   8 947  30  ;277015 13  56  6  91652866 946    92   8 947  30  
27015 13  56  6  91652866 946    92   8 47  430  4;27015 13  56 6  965286946 7   925   8 47  3  43   ;27015 13  56  6  91652866 946    92   8 47  430  4
27015 13  56 6  965286946    925   8 477  3  43   ;2701 13   526  6  965286966    92    847  3  4    ;2701 13   526  6  965286966    92    847  3  4    
2701 7813   526  6  965286966    92    847  3  4  ;27015 7 13  56   967285 3 3 93  2    2 44   444   ;2701 7813   526  6  965286966    92    847  3  4  
27015 7 13   656   967285 3 3 9  28    2 44   444 ;27015 7 13  56  967 285 3 3 9  2  2 44   444      ;27015 7 13   656   967285 3 3 9  28    2 44   444 
27015 7 13   56  967 285 3 3 9  2   32 444   444  ;27015 713  56   9667285  3320 9  2   2 44  4    2 ;27015 7 13   56  967 285 3 3 9  2   32 444   444  
27015 713   56    9667285  3320 98  2   24 44  4  ;452 7015 112283 99 83  6    36961286960    26  2  ;452 7015 112283 99 83  6    36961286960    26  2  
4527015 112283 9 8  6    36961286960    26  2  4 5;4527015 1122283 9 8  6    364961286960    26    84;4527015 112283 9 8  6    36961286960    26  2  4 5
4527015 112283 9 8  96    36961286960    267    4 ;27015 13  5  6 7 9165286369 46    9 2   8  47  3  ;27015 13  5  6 7 9165286369 46    9 2   8  47  3  
27015 13  5  6 7 916528669 46    992   8  47  3  7;277015 13  56  6  91652866 946    92   8 947  30  ;27015 13  5  6 7 916528669 46    992   8  47  3  7
277 015 13  56  6  91652866 946    926   8 947  30;27015 13  56  63  91652866 946    92   8 47  430  ;277 015 13  56  6  91652866 946    926   8 947  30
27015 13  56  6  91652866 9463    952   8 47  430 ;2701 133   526  6  965286966    92    47  3  4    ;2701 133   526  6  965286966    92    47  3  4    
2701 13   526  6  9965286966    92    847  3  4   ;2701 7813   526  60  9665286966    92    847  3  4;2701 13   526  6  9965286966    92    847  3  4   
2701 7813   526  6  965 286966     92    847  3  4;27015 7 13   656   96725 3 3 9  28    2 44   444  ;2701 7813   526  6  965 286966     92    847  3  4
27015 7 13   656   967285 3 3 9  28    2 44   444 ;27015 7 13   56  967 285 3 3 9 2   32 444  444    ;27015 7 13   656   967285 3 3 9  28    2 44   444 
27015 7 13   56 967 285 3 3 9  2   32 444   444   ;452 7015 112283 9 83  6    36961286960    26  2   ;27015 7 13   56 967 285 3 3 9  2   32 444   444   
452 7015 11 22283 99 83  6    36961286960    26  2;452701 112283 9 8  6    36961286960    26  20  4 5;452701 112283 9 8  6    36961286960    26  20  4 5
452715 112283 9 8  6    36961286960    26  2  4 5 ;27015 13  5  6 7 9165286369 46    9 2   8  47  3  ;27015 13  5  6 7 9165286369 46    9 2   8  47  3  
2270115 13  5  6 7 9165286369 46    9 2   8  47  3;27015 13  5  6 7 916528669 46    992   8  47  3  7;2270115 13  5  6 7 9165286369 46    9 2   8  47  3
27015 13  5  6 7 916528669 446    992   8  47  3  ;277 015 13  56  6  91652866 946    6926    8 947  ;277 015 13  56  6  91652866 946    6926    8 947  
277 015 13  5  6  91652866 946    6926   8 947  30;2701 133   526  6  965286966    926    47  3  4   ;277 015 13  5  6  91652866 946    6926   8 947  30
2701 133    526  6  965286966    92    47  3  4   ;2701 13   526  6  9965286966    92    847  53   4 ;2701 13   526  6  9965286966    92    847  53   4 
2701 613   526  6  99652869666    92    847  3  4 ;2701 7813   526  6  965 286966     92   5 847  3  ;2701 7813   526  6  965 286966     92   5 847  3  
2701 7813   526  6 3 965 286966     92    847  31 ;27015 7 13   656   967285 3 3 9  28    2 844   44 ;27015 7 13   656   967285 3 3 9  28    2 844   44 
27015 7 13   656   967285 3 3 9  28    2 44   444 ;27015 7 13   56  967 285  3 3 9 2   32 444   444  ;27015 7 13   656   967285 3 3 9  28    2 44   444 
276015 7 13   56 967 285 3 3 9  2   327 44   444  ;4527016 112283 9 8  6    36961286960    26  200  4;276015 7 13   56 967 285 3 3 9  2   327 44   444  
452701 1132283 9 8  6    36961286960    26  20  4 ;27015 13  5  6 7 91652863697 46     9 2   8  47  3;452701 1132283 9 8  6    36961286960    26  20  4 
27015 13  5  6 77 9165286369 46    9 2   8   47  3;2270115 13  5  6 7 9165286369 46    9 2   8  47  3;2270115 13  5  6 7 9165286369 46    9 2   8  47  3
2270115 134  5  6 7 9165286369 46    9 2   8  47  ;277 015 13  56  6  91652866 946    6926     8 947 ;277 015 13  56  6  91652866 946    6926     8 947 
277 015 13  5  6  91652866 946    6926    8 947   ;277 015 13  5  6  91652866 96    69226   8 947  30;277 015 13  5  6  91652866 946    6926    8 947   
277 015 13  5  6  91652866 46    6926   8 947  30 ; 2701 13   526  6  9965286966    92   2 847  53   ; 2701 13   526  6  9965286966    92   2 847  53   
27091 13   526  6  9965286966    92    847  53    ;2701 7813   526  6  965 286966     92   5 847  3  ;2701 7813   526  6  965 286966     92   5 847  3  
2 701 7813   526  6  9625 286966     92   5 847  3;27015 7 13   656   967285 3 3 9  28    2 844   44 ;27015 7 13   656   967285 3 3 9  28    2 844   44 
27015 7 13   656   967285 3 34 9  28    2 844   44;27015 7 13  656   967285 3 3 9  28    2 44   444  ;27015 7 13   656   967285 3 34 9  28    2 844   44
 27015 7 13   656   967285 3 3 9  28    2 44   444;276015 7 13   56 967 285 3 3 9  2   3327 44   444 ; 27015 7 13   656   967285 3 3 9  28    2 44   444
