;;2   66
2   3666      5 8     9  0                 0    5 ;2   666      85    9     0 4               0   5  ;2   3666      5 8     9  0                 0    5 
2   666      85     6    0 4                0   5 ;2    6660            7       4          6    0    ;2   666      85     6    0 4                0   5 
2    66680            7                     0     ;2   66 2 74 7  9                        4       4 ;2   66 2 74 7  9                        4       4 
2   66 2 74 7  9   9                    4     6  4;2   66    7 6 9    26                             ;2   66    7 6 9    26                             
2   66    7 6 9    246                            ;3    66          9             3 61       6       ;2   66    7 6 9    246                            
23    66          9             3 617       6     ;23    6          9              61  1     6       ;23    6          9              61  1     6       
23  7  6          9              61       6  7    ;2 31    626     0               6        6        ;2 31    626     0               6        6        
2 31    66     0    9            6   8     6      ;2531  5  66                 3    6        6       ;2 31    66     0    9            6   8     6      
231  5  866            8    3    6        6       ;231    6             4        6        6          ;231  5  866            8    3    6        6       
231    66                    6        6           ;2    3666      5 8     9  0              8   0    ;231    66                    6        6           
2   3666      5 8     9  0                  0    5;2   666      85     6    0 4        8        0   5;2   3666      5 8     9  0                  0    5
2   6 66      85     6    0 4                0   5;2   66 2 74 7  9    9                    4        ;2   66 2 74 7  9    9                    4        
2   66 52 74 7                           4       4;2   66    07 6 9    26                            ;2   66 52 74 7                           4       4
2   666    7 6 9  8  2 6                          ;2   66    7 6 9    246                            ;2   666    7 6 9  8  2 6                          
2   66    7 6 9     246            9              ;23    6          9               61   1     6     ;2   66    7 6 9     246            9              
23    6          9              61  1     6       ;2 31    626     0               6        6     8  ;2 31    626     0               6        6     8  
2 31    626     0              6        6         ;2 31    66     0    9            6   8     6      ;2 31    626     0              6        6         
231    66     0    9            6   8     6       ;231  5  866           8 2   3    6        6       ;231    66     0    9            6   8     6       
231  5  866            8    3    6  2      6      ;231    66                    6        6        0  ;231  5  866            8    3    6  2      6      
231    66                     6        6          ;2   3666      5 8     9                    0      ;2   3666      5 8     9                    0      
2   3666      5 8     9  0                   05   ;2   662 74 7  9    9                    4         ;2   3666      5 8     9  0                   05   
