;;    4
58  80024 0 00046269  9237 57   7444;5 80 268000 0040 6 5    4 4 8528342  44;5 80 268000 0040 6 5    4 4 8528342  44
5 80 268000 0040 6 55   4 4 85283242  44;88882005500 2442883 5595256874 7 84;88882005500 2442883 5595256874 7 84
8888200500 28442883 55952256874 7  84;8880800000 2444883 8559522687 4  77 84;8880800000 2444883 8559522687 4  77 84
88808800000 24448 83 85595225687 4 77 884;8880800000 2444 883 559522 5687 47 84;8880800000 2444 883 559522 5687 47 84
8880800000 2444883 55952255687 4 47 84;88880800500 25442883 559522568746 7 884;8880800000 2444883 55952255687 4 47 84
8288008 00500 2442883 559522568746 7 84;80002040 273283 5224923996 874   7 88844;8288008 00500 2442883 559522568746 7 84
800200 27283 5224923996 874   7 88454;8022000 4038 8305 53528529662 270  7786788 4;8022000 4038 8305 53528529662 270  7786788 4
802220000 4038 8305 583528252662 270  778678 4;802 92200 4038 8357 5352825262 270  7878 4;802220000 4038 8305 583528252662 270  778678 4
80292200 4038 8356 53528235262 2730  7878 4;8022200  40 368  835 5352825262 2870  7878 4;80292200 4038 8356 53528235262 2730  7878 4
802200  4038  835 5352825 262 270  7878 4;5 80 268000 0 0040 6 5    4 4 8528342  44;802200  4038  835 5352825 262 270  7878 4
5 80 268000 00040 6 5    4 4 8528342  54 4;4888820025500 2442883 85595256874 7 84;5 80 268000 00040 6 5    4 4 8528342  54 4
8882005500 2442883 5595256874 7 84;8880800000 2444883 855952268  4  77 84;8880800000 2444883 855952268  4  77 84
88808600000 2444883 8559522687 4  777 84;8880800000 24 44 883 5595225 687 47 84;88808600000 2444883 8559522687 4  777 84
888080000 02444 883 5595222 5687 47 584;88 80800000 2444883 559252255687  4 47 84;88 80800000 2444883 559252255687  4 47 84
88800800000 42444883  55952255687 4 47 84;82887008 00500 2442883 559522568746 7 84;88800800000 42444883  55952255687 4 47 84
82880008 00500 2442883 559522568746 7 684;022000 47038 8305 53528529662 270   77 86788 4;82880008 00500 2442883 559522568746 7 684
8022000 4038 8305 53528529662 270  76786788 4;8029220000 4038 88305 583528252662 270  778678 4;8022000 4038 8305 53528529662 270  76786788 4
802220000 4038 8305 583528252662 270  7786778 4;80292200 4038 8356 53528235262 2730   7878 4;80292200 4038 8356 53528235262 2730   7878 4
980292200 4038 8356 535282522 27730  7878 94;8802200   4038  835 5352825 2602 270  7878 4;980292200 4038 8356 535282522 27730  7878 94
8022 00  4038  835 5352825 2662 20  7878 4;5 80 2 680000 00040 6 5    4 4 8528342  54 4;5 80 2 680000 00040 6 5    4 4 8528342  54 4
5 80 2608000 00040 6 5    4 4 8528342  54 4;8880800000 2444883 8559526268  4  707 84;8880800000 2444883 8559526268  4  707 84
88808000000 2444883 8559522682  4  77 884;88808600000 2444883 85595292687 4  777 84;88808000000 2444883 8559522682  4  77 884
88808600000 2444883 85595226 87 4  777 84;88 80800000 2444883 55925225587  44 47 84;88 80800000 2444883 55925225587  44 47 84
88 808000005 2444883 55592552255687  4 47 84;88800800000 42444883 55952255687 4  47 84;88800800000 42444883 55952255687 4  47 84
888040800000 42444883  55952255687 4 447 84;82088000 00500 2442883 5 59522568746 7 684;82088000 00500 2442883 5 59522568746 7 684
828080 008 00500 2442883 559522568746 7 684;8022000 038 8305 535285229662 270  7686788 4;828080 008 00500 2442883 559522568746 7 684
80022000 43038 8305 53528529662 270  767 86788 4;80292270 4038 8356 5352823562 2730  8 7878 4;80022000 43038 8305 53528529662 270  767 86788 4
80292200 4038 8356 535 282355262 2730   7878 4;980292200 4038 8356 53528252 27730  78758 94;980292200 4038 8356 53528252 27730  78758 94
2980292200 4038 8356 53528222 277300   7878 94;5 80 2 680000 00040  5    48 4 85228342  54 4;2980292200 4038 8356 53528222 277300   7878 94
5 80 2 680000 000240 6 5    4 4 85283429  54 64;88808006000 2444883 855952626  4  707 84;5 80 2 680000 000240 6 5    4 4 85283429  54 64
8880800000 2444883 8559526268  4  707 84;888080000000 2444883 855952 2682  4  77 884;8880800000 2444883 8559526268  4  707 84
88808000000 2444883 5595292682  4  77 884;88 80800000 2444883 55925225587  44 47 84;88 80800000 2444883 55925225587  44 47 84
88 80800000 24944883 559252225 587  44 47 84;88800800000 42444883 559522 55687 4  47 84;88800800000 42444883 559522 55687 4  47 84
88800800000 42444883 559522556827 4  47 834;82088000 0050 2442883 5 59522568746 7 684;82088000 0050 2442883 5 59522568746 7 684
82088000 000500 24428835 5952258746 7 684;828080 008 0090500 2442883 55952256874 67 684;82088000 000500 24428835 5952258746 7 684
828080 0084 00500 2442883 5595225628746 7 684;80022000 4430388 8305 5939528529662 270  767 86788 4;80022000 4430388 8305 5939528529662 270  767 86788 4
80022000 43038 8305 5350285299662 270  767 867886 4;980292200 74038 8356 53528252 2730  78758 94;80022000 43038 8305 5350285299662 270  767 867886 4
980292200 840386 8356 5352 8252 27730  78758 94;2980292200 4038 8356 53528222 27773000   7878 94;980292200 840386 8356 5352 8252 27730  78758 94
2980292200 4038 8356 53528222 277300   78788 94;5 8 2 6080000 00040 6 5    4 4 85283429  54 64;2980292200 4038 8356 53528222 277300   78788 94
5 80 2 680000 00040 6 5    4 4 8528349  54 644;888080000 2444883 8559526268  4  707 84;5 80 2 680000 00040 6 5    4 4 8528349  54 644
880800000 2444883 8559526268  4  707 84;88 8080099000 2444883 559252255587  44 47 84;88 8080099000 2444883 559252255587  44 47 84
8 80800000 2444883 55925225587  44 47 84;88800800000 42444883 559522 55687 4  47  84;8 80800000 2444883 55925225587  44 47 84
88800800000 42444883 559522 55687 4  47 84;82088000 0050 62442883 5 56952326568746 7 684;82088000 0050 62442883 5 56952326568746 7 684
82088000 0035 0 2442883 5 59522568746  7 684;82088000 0030500 244288355952258746 7 684;82088000 0035 0 2442883 5 59522568746  7 684
82088000 000560 0 24428835 54952258746 7 684;80022000 443 0388 8305  593952829662 270  767 8678886 4;80022000 443 0388 8305  593952829662 270  767 8678886 4
80022000 4430388 8305 593952852 9662 270  767 86788 4;80022000 430388 83053 5350228299662 270   767 867886 4;80022000 4430388 8305 593952852 9662 270  767 86788 4
80022000 43038 8305 53502852990662 270  767 867886 ;980292200 840386 856 5352 8252 277730  7878 9;80022000 43038 8305 53502852990662 270  767 867886 
95802922008403 896 8356 5352 8252  27730  78758 94;2980292200 4038 8356 535282222 277300   678788 94;2980292200 4038 8356 535282222 277300   678788 94
2980922200 4038 8356 53528222 277300   78788 594;5 80 2 680000  00040 6  5    4 4 852 83439  54 644;5 80 2 680000  00040 6  5    4 4 852 83439  54 644
5 80 2 680000 00040 6 5    48 44 8528349  54 644;788 8080099000 2444883 559252255587  443 47 8;5 80 2 680000 00040 6 5    48 44 8528349  54 644
88 8080099000 246644883 559252255587  44 47 84;8 80800000 22444883 55925225587   44 47 84;88 8080099000 246644883 559252255587  44 47 84
8 80800000 2444883 55925225587 44 47 584;882088000 0050 62442883 5 569523265678746 87 684;8 80800000 2444883 55925225587 44 47 584
82088000 0050 62442883  66952326568746 7 684;82088000 0035 07 2442883 5 59522568746  7 684;82088000 0035 07 2442883 5 59522568746  7 684
82088000 0035 0 2442883 5 59522568746  7 84;80022000 443  03888305  5939528294662 270  767 8678886 4;82088000 0035 0 2442883 5 59522568746  7 84
800 22000 443 0388 8 305  593952829662 270  767 8678886 4;80022000 44430388  8305 593952852 9662 270  767 867788 4;800 22000 443 0388 8 305  593952829662 270  767 8678886 4
80022000 44300388 8305 59395282 96962 2770  767 986788 4;800220030 43038 8305 5535028552990662 270  767 867886 ;80022000 44300388 8305 59395282 96962 2770  767 986788 4
8022000 430038 8305 53502852990662 270  767 867886 ;2980292200 4038 8356 535282222 277300   678788 94;8022000 430038 8305 53502852990662 270  767 867886 
2980292200 450 38 83356 535282222 2707300   5678788 94;35 80 2 680000 6 00040 6  5    4 4 852 83439  54 644;2980292200 450 38 83356 535282222 2707300   5678788 94
5 80 2 680000  00040 6  5    4 4 852 83439  54 644;5 80 2 680000 00040 6 5    48 44 8528349  54 644;5 80 2 680000  00040 6  5    4 4 852 83439  54 644
5 80  2 680000 00040 6 5      48 44 8528349  54 644;88 80800990700 246644883 559252255587  44  47  84;88 80800990700 246644883 559252255587  44  47  84
88 8408009900 246644883 559252255587  44 47 384;8 800800000 2444883 559252225587 44 47 584;8 800800000 2444883 559252225587 44 47 584
8 808005000 2444883 5592225587 44 7427 584;8 088000 0035 07 2442883 5 59522568746  7 684;8 088000 0035 07 2442883 5 59522568746  7 684
82088000 0035 07 2442883 5 59522568746  7 684;820880000 0035 0 2442883 5 59522568746  70 84;820880000 0035 0 2442883 5 59522568746  70 84
852088000 0035 0 2442883 5 595228568746  7 84;800 22000 443 03888 8 305  593952829662 270 4 767 867886 4;800 22000 443 03888 8 305  593952829662 270 4 767 867886 4
800 22000 443 0388 8 305  593952829662 270  5767 8678886 4;80022000 443003888 8305 5939582 9662 2770  767 986788 4;80022000 443003888 8305 5939582 9662 2770  767 986788 4
800222000 4300388 83056 59395282 96962 2770  767 986788 4;8022000 430038 8305 53502852990662 270  7678 6867886 ;8022000 430038 8305 53502852990662 270  7678 6867886 
8022000 430038 883095 5350285923990662 270  767 867886 ;2980292200 450 38 8336 535282222 2707300   5678788  94;8022000 430038 883095 5350285923990662 270  767 867886 
2980292200 450 38 873356 535282222 27073300   5678788 94;5 80 2 68000  00040 6  5    4 4 852 83439  554 56494;5 80 2 68000  00040 6  5    4 4 852 83439  554 56494
5 850 2 6800040  00040 6  5    4 4 8552 83439  54 644;88 80800990700 2466644883 559252255587  844  47  84;88 80800990700 2466644883 559252255587  844  47  84
88 80800990700 246644883 559252255 587  44  8 7  84;8 800800000 2444883 55925222587 444 47 584;8 800800000 2444883 55925222587 444 47 584
8 800800000 2444883 525925222558 7 44 47 584;8 0880 00 0035 070 2442883 5 5952258746  7  684;8 0880 00 0035 070 2442883 5 5952258746  7  684
8 0880000 0035 070 2442883 5 595522568746  7 6844;820880000 0035 0 2442883 5 59522568746  870 784;8 0880000 0035 070 2442883 5 595522568746  7 6844
820880000 0035 0 2442883 55 595222568746   70 84;800 22000 443 03888 8 305  593952829662 2270 4 767 867886 4;820880000 0035 0 2442883 55 595222568746   70 84
800 22000 443 03888 8 305 5939852829662 270 4 767 8667886 4;800220006 443003888 8305 5939582 9662 2774  767 986788 4;800220006 443003888 8305 5939582 9662 2774  767 986788 4
80022000 4433003888 83055 59395822 9662 2770  6767 986788 4;8022000 430038 8305 5502852990662 270  87678 6867886 ;80022000 4433003888 83055 59395822 9662 2770  6767 986788 4
8022000 430038 8305 5350252990662 270  7678 6867886 ;8022000 430038883095 535028592737990662 270  767 867886 ;8022000 430038 8305 5350252990662 270  7678 6867886 
8022000 40038 8830955 535028923990662 270  767 867886 ;5 80 2 68000  00040 6   5    4 4 852 83439  554 5 6494;5 80 2 68000  00040 6   5    4 4 852 83439  554 5 6494
5 80 2 68000  00040 6  5   4 4 4 852 83439  554 56494;88 80800990700 2466644883 5599252255587  844  747  884;88 80800990700 2466644883 5599252255587  844  747  884
788 80800990700 2466644883 559252255587 4 844 47  84;8 800800000 04448883 55925222587 444 47 584;8 800800000 04448883 55925222587 444 47 584
8 800800000 2444883 556925222587 444 407 584;8 0880 00 0035 0730 2442883 5 53952258746  7  684;8 0880 00 0035 0730 2442883 5 53952258746  7  684
8 0880 00 0035 0702442883 85 59522582746  7  684;84 00880000 0035 070 2442883 5 595522568746  7 6844;84 00880000 0035 070 2442883 5 595522568746  7 6844
8 0880000 0035 070 2442883 5 595522568746   7 6844;82900880000 0035 0 2442883 55 595222568746   720 84;8 0880000 0035 070 2442883 5 595522568746   7 6844
820880000 003500 2442883 55 595222568746   870 884;8002200069 443003888 8305 5939 582 9662 2774  767 986788 4;8002200069 443003888 8305 5939 582 9662 2774  767 986788 4
800220006 443003888 8305 5939582 9662 277  767 986788 4;80022000 44433003888 83055 59395822 9662 27770  6767 9286788 4;800220006 443003888 8305 5939582 9662 277  767 986788 4
80022000 4433003888 83055 5993958229 9662 2770  6767 9086788 4;8022000 430038 8305 5350252990662 270  76 78 68967886 ;80022000 4433003888 83055 5993958229 9662 2770  6767 9086788 4
8022000 430038 8305 5350252990662 270  7678 6867886 ;5 80 2 68000  00040 6   5    4 4 852 834395  554 5 6494;5 80 2 68000  00040 6   5    4 4 852 834395  554 5 6494
5 80 2 68000  000040 6   5    4 4 852 83439  554 5 6494;88 80800990700 2466644883 55 9925225587  844  747  884;88 80800990700 2466644883 55 9925225587  844  747  884
828 80800990700 2466644883 5599252255587  8448  747  884;8 80080 0000 04448883 559925222587 444 47 584;828 80800990700 2466644883 5599252255587  8448  747  884
8 8 00800000 044 48883 55925222587 444  47 584;8 0880 000 0035 0730  24422883 5 53952258746  7  684;8 8 00800000 044 48883 55925222587 444  47 584
8  0880 00 0035 0730 2442883 5 53952258746  7  684;84 0880000 20035 007 0 2442883 5 595522568746  7 6844;8  0880 00 0035 0730 2442883 5 53952258746  7  684
84 00880000 0035 070 24462883 5 5955 22568746  7 68 44;8 0880000 0035 070 2442883 5 595522568746   7 68844;8 0880000 0035 070 2442883 5 595522568746   7 68844
8 0880000 0035 070 2442883 5595522568 746   7 65844;8002200069 4483003888 8305 5939582 9662 27674  767 986788 4;8 0880000 0035 070 2442883 5595522568 746   7 65844
8002200069 74430063888  83305 5939 582 9662 2774  767 986788 4;8002820006 443003888 8305 5939582 966 277  767 986788 4;8002820006 443003888 8305 5939582 966 277  767 986788 4
800220006 443003888 8305 5939582 9662 277  767 986788 4;8002230050 4433003888 83055 599395829 9662 2770  6767 908 6788 4;800220006 443003888 8305 5939582 9662 277  767 986788 4
80022000 4433003888 3055 599358229 89662 2770  6767 9086788 4;5 80 2  688000  00040 6   5    4 4 8752 834395  554 5 6494;80022000 4433003888 3055 599358229 89662 2770  6767 9086788 4
5 850 2 68000  00040 6    5    4 94 8522 834395  554 5 6494;88 80800990700 2466644883 55 9925225587  844  747  884;88 80800990700 2466644883 55 9925225587  844  747  884
88 8082009907060 2466644883 55 99252255887  844  747  884;8028 80800990700 24666464883 55999252255587  8448  74  884;8028 80800990700 24666464883 55999252255587  8448  74  884
8228 8800990700 24666448835599252255587  8448  747  884;8 8 000800000 044 48883 59252222587 444  47 584;8 8 000800000 044 48883 59252222587 444  47 584
8 8 0080002200 044 48883 559252222587 444  47 584;8  0880 00 0035 0730 2442883 5 5396522587426  7  684;8 8 0080002200 044 48883 559252222587 444  47 584
8  0880 00 0035 0730 244 2883 5 53952258746  7  6984;8 0880000 0035 070 2442883 5  595522568746  7 688844;8 0880000 0035 070 2442883 5  595522568746  7 688844
8 0880000 0035 070  24428883 5 595522568746   7 6 8844;8 0880000 0035 070 24428834 5595522568 746   7 65844;8 0880000 0035 070  24428883 5 595522568746   7 6 8844
8 0880000 0035 0770 22442883 5595522568 746   7 65844;80028200066 4430038888 83058 5939582 966 277  767 986788 4;8 0880000 0035 0770 22442883 5595522568 746   7 65844
80028200 06 443003888 830 5939582 66 277  7607 986788 4;80020006 443003888 305 5939582 9662 277  767 986788 84;80028200 06 443003888 830 5939582 66 277  7607 986788 4
800220006 54443003888 8305 5939582 9662 277  767 98678 4;800220008 4433003888 3055 5993588229 89662 2770  6767 908788 4;800220008 4433003888 3055 5993588229 89662 2770  6767 908788 4
80022 000 4433003888 3055 5993582 29 89662 2770  6767 9086788 44;88 808009907000 2466644883 55 9925225587  844  747   88;88 808009907000 2466644883 55 9925225587  844  747   88
88 8080093940700 2466644883 55 9925225587  844   747  884;8028 80800990700 24666464 883 55999252255587  84 48  74  8844;8028 80800990700 24666464 883 55999252255587  84 48  74  8844
8028 808009900700 2466464883 5999252255587  8448  74  884;8 88 00000000 044 48883 59252222587 444  47 5 84;8 88 00000000 044 48883 59252222587 444  47 5 84
 8 8 0008000000 044 48883  59252222587 444  47 584;98 8 00806002200 044 488783 5592522272587 444  47 584; 8 8 0008000000 044 48883  59252222587 444  47 584
8 8 00800025200 044 48883 559252222587 444  47 2 584;8 088 0000 00345 070 2442883 5  595522568746  7 688844;8 8 00800025200 044 48883 559252222587 444  47 2 584
8 0880000 00535  070 2442883 5  595522568746  7 688844;8 0880000 0035 070  24428883 5 595522568746  78 6 8844;8 0880000 0035 070  24428883 5 595522568746  78 6 8844
8 088090700 0035 070  2442888803 5 595522568746   7 6 8844;8 0880000 0035 0770 22442883 5595522568 466   7 658454;8 0880000 0035 0770 22442883 5595522568 466   7 658454
8 0880000 0035 0770 22442883 55955225068 7426   7 645844;80028200 06 443003888 830 55939582 66 277  07607 986788 4;8 0880000 0035 0770 22442883 55955225068 7426   7 645844
80028200 067 443003888 830 5939582 668 277  7607 986788 4;800222008 4433003888 3055 59993588229 89662 2770  6767 908788 4;800222008 4433003888 3055 59993588229 89662 2770  6767 908788 4
8002200088 4433003888 3055 59935588229 8962 2770  6767 908788 4;88 808009907000 22 466644883 556 9925225587  844  747    88;88 808009907000 22 466644883 556 9925225587  844  747    88
88 8028009907000 2466644883 55 9925225587  844 2 7427   88;8028 80800990700 24666464 883 559399252255587  84 48  74  8844;88 8028009907000 2466644883 55 9925225587  844 2 7427   88
8028 8008009990700 24666464 883 55999252255587  8540 48  74  8844;8 88 0000000 04 4 48883 59252222587 444  47 5 84;8028 8008009990700 24666464 883 55999252255587  8540 48  74  8844
8 88 00000000 044 48883 5925227224587  444  47 55 84;8 8 0008000000 044 48883  59252222587 444  47 584;8 8 0008000000 044 48883  59252222587 444  47 584
 8 8 0008000000 044 48883  592522222587 444  47 584;8 8 00800025200 044 48883 5592502 222587 444  47 2 5084;8 8 00800025200 044 48883 5592502 222587 444  47 2 5084
8 8 900800025200 044 48883 55925222287 444  47 2 58;8 08800060 0035 070  82448883 5 595522568746  78 6 98844;8 08800060 0035 070  82448883 5 595522568746  78 6 98844
8 0880000 600 35 070  24428883 5  5965522568746  78  6 8844;8  0880000 0035 07570 22442883 5595522568 466   7 658454;8 0880000 600 35 070  24428883 5  5965522568746  78  6 8844
8 0880000 0035 007704 2244288 3 559552258 466   57 658454;8 0880000 0035 07700 222442883 5595 5225068 7426   7 645844;8 0880000 0035 07700 222442883 5595 5225068 7426   7 645844
8 0880000 0035 0770 2294488 3 559655225068 7426   7 645844;800222008 44330003888 3055 59993588229 89662 2770  6767 908788 4;8 0880000 0035 0770 2294488 3 559655225068 7426   7 645844
800222008 44330038883055 59993588229 89662 2770  6767 908788 4;88 808009907000 22 466644883 556 99252255877  8844  747    88;88 808009907000 22 466644883 556 99252255877  8844  747    88
88 808009907000 22 466644883 553 9925225587  844  747    88;88 82028009907000 2466644883 55 9925225587 844 2 7427   88;88 808009907000 22 466644883 553 9925225587  844  747    88
88 8028009907000 2466644883 55 9925225587  844 2  74270   88;8028 8008009990700 4666464 883 55999252255587  8540 48  74  8844;88 8028009907000 2466644883 55 9925225587  844 2  74270   88
8028 800800999000  24666464 8863 559992752255587  8540 48  74  8844;8 8 00080000000 044 48883  59252222587 444  47 584;8 8 00080000000 044 48883  59252222587 444  47 584
8 8 0008000000 4044 48883  59252 222587 44  47  584;8 8 008000025200 044 48883 5592502 222587 444  647 2 5084;8 8 008000025200 044 48883 5592502 222587 444  647 2 5084
8 8 008000225200 044 48883 5592502 222587 444  47 2 5084;8 08800060 0035 070  82448883 5 595522256846  78 6 98844;8 8 008000225200 044 48883 5592502 222587 444  47 2 5084
8 08800060 0035 070  2448883 5 595522568746  78 6 98844;8 0880000 6800 35 070  244288883 5  5965522568746  788  6 8844;8 0880000 6800 35 070  244288883 5  5965522568746  788  6 8844
8 0880000 600 35 070  24428883 5  5965522 568746  78  6 8844;8 0880000 0035 7700 222442883 85595 5225068 7426   7 645844;8 0880000 600 35 070  24428883 5  5965522 568746  78  6 8844
8 08820000 0035 07700 222442 883 5595 5225068 7426   7 6345844;8 0880000 00355 0770 22944888 3 5596555225068 7426   7 6455844;8 08820000 0035 07700 222442 883 5595 5225068 7426   7 6345844
8 08860000 0035 90770 22944988 3 5596552225068 7426   7 645844;88 808009907000 22 466644883 556 99252255877  8844  747    88;8 08860000 0035 90770 22944988 3 5596552225068 7426   7 645844
88 808009907000 22 46664 4883 556  99252255877  8844  74 7    88;88 8080099057000 22 466644883 553 995225587  8444  747    88;88 808009907000 22 46664 4883 556  99252255877  8844  74 7    88
88 8080099070000 22 466644883 553 99252255587  8 44  747    88;88 802800990700 2466644883 55 9925225587  844 2  74270   88;88 8080099070000 22 466644883 553 99252255587  8 44  747    88
88 8028 0099057000 22466644883 55 9925225587  844 2  74270   88;8 8 00080000000 044 488883  5925222 2587 444  47 584;8 8 00080000000 044 488883  5925222 2587 444  47 584
8 8 24000800000000 044 48883  59252222587 444  47 584;8 8 0068000025200 044  48883 5592502 222587 444  647  2 5084;8 8 0068000025200 044  48883 5592502 222587 444  647  2 5084
8 8 008000025200 044 48883 5592502 2022587 444  647 2 508594;8 8 00800025200 044 48883 5592502 222587 444  7 2 5084;8 8 00800025200 044 48883 5592502 222587 444  7 2 5084
8 8 0080002295200 044  48883 5592502 222587 444  47 2 5084;8 08480000 6800 35 070  2442888830 5  5965522568746  788  6 8844;8 08480000 6800 35 070  2442888830 5  5965522568746  788  6 8844
8 0880000 6800  35 0670  244288883 5 5965522568746  788  6 8844;8 0880000 600 35 070  24428883 5  52965522 5686746  78  6 8844;8 0880000 600 35 070  24428883 5  52965522 5686746  78  6 8844
8 0880000 600 35 070  244288832 5  5965522 568746  78  6 8844;8 088820 000 0035 077000 222442 883 5595 52225068 7426    7 6345844;8 0880000 600 35 070  244288832 5  5965522 568746  78  6 8844
8 08820000 0035 7077090 222442 883 5595 52255068 7426   7 6345844;8 08860000 0035 90770 22944988 3 5596552225068 7426 6  7 645844;8 08860000 0035 90770 22944988 3 5596552225068 7426 6  7 645844
8 087860000 0035 90770 22944988  5596552225068 7426 0 7 645844;88 808009907000 224 463664 4883 556  99252255877  8844 2 74 7    88;8 087860000 0035 90770 22944988  5596552225068 7426 0 7 645844
88 808009907000 22 46664 4883 556  99252255877  8844  74 7    88;88 80800990700000 22 466644883 553 999252255587  8 44  747    88;88 80800990700000 22 466644883 553 999252255587  8 44  747    88
88 8808000994070000 22 466644883 553 992522505587  8 44  747    88;8 8 00080000000 44 488883   59252222 2587 444  47 584;8 8 00080000000 44 488883   59252222 2587 444  47 584
8 8 00080000000 044 488883  5925222 2587 444  47 584;8 8 00680000285200 0434  48883 5592502 222587  444 647  2 5084;8 8 00080000000 044 488883  5925222 2587 444  47 584
8 8 00680000252300 044  48883 5592502 222587 444  647  2 57084;8 8 00800025200 0446 48883 5592502 22258 7 444  7 2 508 4;8 8 00800025200 0446 48883 5592502 22258 7 444  7 2 508 4
 8  008005025200 044 48883 5592502 222587 444  7 2 5084;8 08480000 6800 355 070  2442888830  5  5596522568746  788  6 8844; 8  008005025200 044 48883 5592502 222587 444  7 2 5084
8 008480000 6800 35 070  244288 8830 5  5965522568746  788  6 88844;8 0788000 600 35 070  24428883 5  529655822 56867486  78  6 8844;8 008480000 6800 35 070  244288 8830 5  5965522568746  788  6 88844
8 0880000 600 35 070  24428883 5  52965522 5686746  78  6 8844;8 0880000 600 35 070  244288832 50  5965522 568746  78  6 8844;8 0880000 600 35 070  24428883 5  52965522 5686746  78  6 8844
8 0880000 600 35 070  244288832 5  59654522 568746  78  6 88404;8 08860000 0035 90770 22944988 33 5596552225068 74265 6  7 645844;8 0880000 600 35 070  244288832 5  59654522 568746  78  6 88404
8 088600000 0035 90770 2294498 3 5596552225068 7426 6  77 645844;8 00987860000 0035 90770 2298449888  5596552225068 7426 0 7 645844;8 088600000 0035 90770 2294498 3 5596552225068 7426 6  77 645844
8 087860000 00 35 9 0770 22944988  5596552225068 7426 0 7 65844;88 80800990700000  22 466644883 553 9992 522255587  8 404  74    88;88 80800990700000  22 466644883 553 9992 522255587  8 404  74    88
88 800800990700000 22 466644883 553 99972522555787  8 44 6 747    88;8 8 00080000000 44 48883   592528222 2587 444  47 584;8 8 00080000000 44 48883   592528222 2587 444  47 584
8 8  00080000000 44 4885883   59252222 2587 444   47 5824;8 8 000800700000 044 4828883  592222 258 4447  47 584;8 8  00080000000 44 4885883   59252222 2587 444   47 5824
8 8 00080000000 04 488883  5925222 2587 444  47 584;8 8 08000252030 0446 248883 5592502 22258 7 444 6 7 2 508 4;8 8 00080000000 04 488883  5925222 2587 444  47 584
8 8 008000252300 0446 48883 5592502 2822558 7 444  7 2 508 4; 8  008005025200 044 848883 5592502 2225837 444  7 02 5084; 8  008005025200 044 848883 5592502 2225837 444  7 02 5084
   08005025200 044 48883 5 592502 222587 444  7 2 5084;8 008480000 800 35 070  244288 8830 5  5965522568746  788  6 88844;8 008480000 800 35 070  244288 8830 5  5965522568746  788  6 88844
8 0084800005 6800 35 070  5244288 8830 5  5965522568746  7898  6 88844;8 0880000 600 35 070  24428883 5  52965522 5686746 78   38844;8 0880000 600 35 070  24428883 5  52965522 5686746 78   38844
8 0880000 600 35 070  24428883 5  529655229 5686746  78   6 844;87 08800000 600 35 070  244288832 5  59654522 568746  78  6 88404;8 0880000 600 35 070  24428883 5  529655229 5686746  78   6 844
8 0880000 600 35 070  244288 832 5  59654522 568746  78  6 88404;88 0886000020 0035 90770 2294498 3 5596552225068 7426 6  577 645844;8 0880000 600 35 070  244288 832 5  59654522 568746  78  6 88404
8  088600000 00355 900770 2294498 3 5596552225068 7426 6  77 645844;88 80800990700000  22 4666448 83 553 9992 522255587   88 404  74   88;88 80800990700000  22 4666448 83 553 9992 522255587   88 404  74   88
88 80800990700000  22 4666448983 553 9992 52225587  8 404  74    88;8 8 00080000000 4 48883   5925228222 2587 444  47 5 84;88 80800990700000  22 4666448983 553 9992 52225587  8 404  74    88
8 8 0008002000500 44 4883   5925282222 2587 444  47 584;88  0008900000000 44 4885883   59252222 2587 444   47 5824;88  0008900000000 44 4885883   59252222 2587 444   47 5824
8 8  0008080000000 44 4885883   59252222 2587  444   47 5824;8 8 00080000000 04 88883 5925222 02587 444  47 584;8 8 00080000000 04 88883 5925222 02587 444  47 584
8 8 00080000000 04 488883  5925222 2587 4944  47 584; 8  00805025200 04 848833 5592502 2225837 444  7 02 5084;8 8 00080000000 04 488883  5925222 2587 4944  47 584
 8  008005025200 044  8448883 5592502 82225837 444  7 02 5084;8 008480000 8002 35 070  244288 8830 5  5 965522568746  788  6 8884 4; 8  008005025200 044  8448883 5592502 82225837 444  7 02 5084
8 008480000 800 35 070  2444288 8830 56  5965522568746  788  6 88844;8 50880000 600 35 070  244 28883 5  5265522 5686746 78   38844;8 008480000 800 35 070  2444288 8830 56  5965522568746  788  6 88844
8 0880000 600 35 0700  2442888 3 5  529565522 5686746 78   38844;8 0880000 600 35 070  2424288833 5  529655229 5686746  7 8   6 8044;8 0880000 600 35 070  2424288833 5  529655229 5686746  7 8   6 8044
8 0880000 600 3 070  24 428883 5  5299655229 5686746  78   6 844;8 088000 600 35 0706  244288 832 5  59654522 5688746  78  6 88404;8 0880000 600 3 070  24 428883 5  5299655229 5686746  78   6 844
8 0880000 600 35 070  244288 832 5  5965474522 5687469  78  6 88404;88 808020990700000  22 4666448 8 553 9909 2 522255587   88 404  74   88;8 0880000 600 35 070  244288 832 5  5965474522 5687469  78  6 88404
88 80800990700000  22 4666448 83 5536 95992 522255587   8 404   74   88;88 8080 099070000  22 4666448983 553 9992 52225587  8 404  74    88;88 80800990700000  22 4666448 83 5536 95992 522255587   8 404   74   88
88 80800990700000  229 4666448983 553 9992 522250587  8 404   74    88;880  0008900000000 449 4885883   59252222 2587 4404   47 5824;880  0008900000000 449 4885883   59252222 2587 4404   47 5824
88  0008900000000 44 48875883   5922222 2587 444   47 5924;8 8 00080000000 04 888883 5925222 02587 444  447 584;88  0008900000000 44 48875883   5922222 2587 444   47 5924
