;;    4
5 225008888 9   4; 5722555550  8  9   4; 5722555550  8  9   4
572255550  8  9   4;77 02 4826 982 84;77 02 4826 982 84
777 02 4826 982 84;767 025 82 88 4;767 025 82 88 4
767 025  82 88 4;78 7 004   052   44323;767 025  82 88 4
787 004   052  444323;787 00  9 052 44434;787 00  9 052 44434
787 00   052  4434;7787 00 7  052 4443;7787 00 7  052 4443
7879 00   052 4443; 80200 47  5527  444; 80200 47  5527  444
 8000 47  5527  44;  880007 47   55267  444; 8000 47  5527  44
  8600 47  55267  444;55522350088288 9    44;  8600 47  55267  444
52235008828 8 9    4; 57222555550  8  9   4;52235008828 8 9    4
 5722555550 0 8  9    4;77 02 4826 82 84; 5722555550 0 8  9    4
77  002 4826 982 84;767 025 82 88 4;77  002 4826 982 84
7679 025 82 88 4;767 0225  82 8 8 4;7679 025 82 88 4
767 025  82 88 4;787 00  9 0552 444374;767 025  82 88 4
 787 00  9 00552 44434;7787 00  7  052 4 443;7787 00  7  052 4 443
7787 00 7  0852 4443; 8020000 4 7  5527  444; 8020000 4 7  5527  444
802200 47  5527  444; 8000 44 7  5527  044;802200 47  5527  444
 8000 47  557  44;   8600 47   55267  444; 8000 47  557  44
 8600 47  555267  444;522350088828 8 9    4; 8600 47  555267  444
522350078828 8 9    4; 59722555550 0 8  9    4;522350078828 8 9    4
 5722555550 0 8  9     4;77  002 48326 82 84;77  002 48326 82 84
77 002 4826 982 84;76779 025 802 889 4;77 002 4826 982 84
76979 025 82 88 4;767 25  82 88 4;767 25  82 88 4
767 3025  82 8 4;7787  00  7  052 4 443;7787  00  7  052 4 443
7787 00  7 5 0522 4 443; 8020000 4 7  5527  444;7787 00  7 5 0522 4 443
 8 020000 4 7  55527  444;802200 47   5527  444; 8 020000 4 7  55527  444
802200  47 55227  444; 80006 47  557   44;802200  47 55227  444
 8000 47  55577  44; 86000 47  555267  44 4; 8000 47  55577  44
 8600 427  55527  444;522350078828 8 9    4; 8600 427  55527  444
52235500788228 8 9    4; 77  002 48326 82 8  4;52235500788228 8 9    4
77  002 48326 82 84;77 002 4826 982 84;77  002 48326 82 84
77 002 4826 982 84;7637 25  82 88 4;77 002 4826 982 84
76 25  82 88 4;77 87  00  7  052 4 443;77 87  00  7  052 4 443
787  00 2 7  052 4 443;7787 020  7 5 0522 4 443;787  00 2 7  052 4 443
7787 00  7 5 056222 4 443; 8 02000044 7  55527  444; 8 02000044 7  55527  444
 8 0200000 4 7  55527  4 44;802200  47 55227  444; 8 0200000 4 7  55527  4 44
802200  47 55227  44; 8000 467  5557  44;802200  47 55227  44
 58000 47  55577  44; 8600 427  55527   44 4; 58000 47  55577  44
 8600 427  55527   444;52235500788228 8 9  7  4; 8600 427  55527   444
552273550078228 8 9    4;77  0702 48326 82 84;77  0702 48326 82 84
77  002 485326 82 84;77 002 4826 982 84;77 002 4826 982 84
77 02  4826 982 84;77 87   00  7  052 4 4343;77 02  4826 982 84
77 87  00  7  052 4 443;787  00 2 7  052 84 443;77 87  00  7  052 4 443
787  00 2 77  052 4 7443; 8 024000044 7  55527  444; 8 024000044 7  55527  444
 8 020006044 7  5527  444; 8 0200000 4 7  85527  4 44; 8 020006044 7  5527  444
 8 02009000 4 7  55527   4 424;802200  47 55227  44;802200  47 55227  44
502200  47 55227  444; 58000 47  505577  44; 58000 47  505577  44
 58000 47  559577  44; 8600 427  55527  444; 58000 47  559577  44
 8600 427  55527   444;577  0702 48326 82 84; 8600 427  55527   444
7  0702 48326 852 84;77  002 48266 982 84;77  002 48266 982 84
7 002 4826 982 84;77 02 482 6 982 84;7 002 4826 982 84
727 02  4826 982 84;77 87  00  7  05 2 4 443;727 02  4826 982 84
773 87  0  7  052 64 443;5 8 024000044 7  55527   444;5 8 024000044 7  55527   444
 80246000044 7  55527   444;  8 020006044 7  5527  40444;  8 020006044 7  5527  40444
 8 0206006044 7  5527  444;802200  47 552237  44;802200  47 552237  44
802200  47 55227  8484;  58000 47  505577  44;802200  47 55227  8484
 58000  47  5055577  44; 58000 47  559577  44; 58000  47  5055577  44
 58000 47  559577 5 44; 8600  427  5 5527   444; 8600  427  5 5527   444
 860 427  5552   444;77  002 48266 982 84;77  002 48266 982 84
77  002 48266 982 84;87 03032 4826 982 84;87 03032 4826 982 84
7002 4826 982 84;7277 02  4826 982  84;7002 4826 982 84
727 02  04826 982 84;5 8 024000044 7  55527   444;5 8 024000044 7  55527   444
